model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2070,219.00057491898605
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2025,291.9014389507655
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2030,320.46509640919885
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2035,462.9767261341187
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2040,600.2790098674282
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2045,659.4420636434387
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2050,713.4512249266336
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2055,875.4599880201629
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2060,1035.2765438853032
MESSAGEix-Pakistan 1,LTS_nexus,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2070,1563.2005689408504
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Fossil Groundwater,MCM/yr,2025,1317.9317876160317
